,Id,ActivityDate,ActivityDay,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
0,1503960366,4/12/2016,Tue,13162.0,8.5,8.5,0.0,1.879999995,0.550000012,6.059999943,0.0,25.0,13.0,328.0,728.0,1985.0
1,1503960366,4/13/2016,Wed,10735.0,6.96999979,6.96999979,0.0,1.570000052,0.689999998,4.710000038,0.0,21.0,19.0,217.0,776.0,1797.0
2,1503960366,4/14/2016,Thu,10460.0,6.739999771,6.739999771,0.0,2.440000057,0.400000006,3.910000086,0.0,30.0,11.0,181.0,1218.0,1776.0
3,1503960366,4/15/2016,Fri,9762.0,6.28000021,6.28000021,0.0,2.140000105,1.25999999,2.829999924,0.0,29.0,34.0,209.0,726.0,1745.0
4,1503960366,4/16/2016,Sat,12669.0,8.159999847,8.159999847,0.0,2.710000038,0.409999996,5.039999962,0.0,36.0,10.0,221.0,773.0,1863.0
5,1503960366,4/17/2016,Sun,9705.0,6.480000019,6.480000019,0.0,3.190000057,0.779999971,2.50999999,0.0,38.0,20.0,164.0,539.0,1728.0
6,1503960366,4/18/2016,Mon,13019.0,8.590000153,8.590000153,0.0,3.25,0.639999986,4.710000038,0.0,42.0,16.0,233.0,1149.0,1921.0
7,1503960366,4/19/2016,Tue,15506.0,9.880000114,9.880000114,0.0,3.529999971,1.320000052,5.03000021,0.0,50.0,31.0,264.0,775.0,2035.0
8,1503960366,4/20/2016,Wed,10544.0,6.679999828,6.679999828,0.0,1.960000038,0.479999989,4.239999771,0.0,28.0,12.0,205.0,818.0,1786.0
9,1503960366,4/21/2016,Thu,9819.0,6.340000153,6.340000153,0.0,1.340000033,0.349999994,4.650000095,0.0,19.0,8.0,211.0,838.0,1775.0
10,1503960366,4/22/2016,Fri,12764.0,8.130000114,8.130000114,0.0,4.760000229,1.120000005,2.24000001,0.0,66.0,27.0,130.0,1217.0,1827.0
11,1503960366,4/23/2016,Sat,14371.0,9.039999962,9.039999962,0.0,2.809999943,0.870000005,5.360000134,0.0,41.0,21.0,262.0,732.0,1949.0
12,1503960366,4/24/2016,Sun,10039.0,6.409999847,6.409999847,0.0,2.920000076,0.209999993,3.279999971,0.0,39.0,5.0,238.0,709.0,1788.0
13,1503960366,4/25/2016,Mon,15355.0,9.800000191,9.800000191,0.0,5.289999962,0.569999993,3.940000057,0.0,73.0,14.0,216.0,814.0,2013.0
14,1503960366,4/26/2016,Tue,13755.0,8.789999962,8.789999962,0.0,2.329999924,0.920000017,5.539999962,0.0,31.0,23.0,279.0,833.0,1970.0
15,1503960366,4/27/2016,Wed,18134.0,12.21000004,12.21000004,0.0,6.400000095,0.409999996,5.409999847,0.0,78.0,11.0,243.0,1108.0,2159.0
16,1503960366,4/28/2016,Thu,13154.0,8.529999733,8.529999733,0.0,3.539999962,1.159999967,3.789999962,0.0,48.0,28.0,189.0,782.0,1898.0
17,1503960366,4/29/2016,Fri,11181.0,7.150000095,7.150000095,0.0,1.059999943,0.5,5.579999924,0.0,16.0,12.0,243.0,815.0,1837.0
18,1503960366,4/30/2016,Sat,14673.0,9.25,9.25,0.0,3.559999943,1.419999957,4.269999981,0.0,52.0,34.0,217.0,712.0,1947.0
19,1503960366,5/1/2016,Sun,10602.0,6.809999943,6.809999943,0.0,2.289999962,1.600000024,2.920000076,0.0,33.0,35.0,246.0,730.0,1820.0
20,1503960366,5/2/2016,Mon,14727.0,9.710000038,9.710000038,0.0,3.210000038,0.569999993,5.920000076,0.0,41.0,15.0,277.0,798.0,2004.0
21,1503960366,5/3/2016,Tue,15103.0,9.659999847,9.659999847,0.0,3.730000019,1.049999952,4.880000114,0.0,50.0,24.0,254.0,816.0,1990.0
22,1503960366,5/4/2016,Wed,11100.0,7.150000095,7.150000095,0.0,2.460000038,0.870000005,3.819999933,0.0,36.0,22.0,203.0,1179.0,1819.0
23,1503960366,5/5/2016,Thu,14070.0,8.899999619,8.899999619,0.0,2.920000076,1.080000043,4.880000114,0.0,45.0,24.0,250.0,857.0,1959.0
24,1503960366,5/6/2016,Fri,12159.0,8.029999733,8.029999733,0.0,1.970000029,0.25,5.809999943,0.0,24.0,6.0,289.0,754.0,1896.0
25,1503960366,5/7/2016,Sat,11992.0,7.710000038,7.710000038,0.0,2.460000038,2.119999886,3.130000114,0.0,37.0,46.0,175.0,833.0,1821.0
26,1503960366,5/8/2016,Sun,10060.0,6.579999924,6.579999924,0.0,3.529999971,0.319999993,2.730000019,0.0,44.0,8.0,203.0,574.0,1740.0
27,1503960366,5/9/2016,Mon,12022.0,7.71999979,7.71999979,0.0,3.450000048,0.529999971,3.74000001,0.0,46.0,11.0,206.0,835.0,1819.0
28,1503960366,5/10/2016,Tue,12207.0,7.769999981,7.769999981,0.0,3.349999905,1.159999967,3.25999999,0.0,46.0,31.0,214.0,746.0,1859.0
29,1503960366,5/11/2016,Wed,12770.0,8.130000114,8.130000114,0.0,2.559999943,1.00999999,4.550000191,0.0,36.0,23.0,251.0,669.0,1783.0
30,1624580081,4/12/2016,Tue,8163.0,5.309999943,5.309999943,0.0,0.0,0.0,5.309999943,0.0,0.0,0.0,146.0,1294.0,1432.0
31,1624580081,4/13/2016,Wed,7007.0,4.550000191,4.550000191,0.0,0.0,0.0,4.550000191,0.0,0.0,0.0,148.0,1292.0,1411.0
32,1624580081,4/14/2016,Thu,9107.0,5.920000076,5.920000076,0.0,0.0,0.0,5.909999847,0.01,0.0,0.0,236.0,1204.0,1572.0
33,1624580081,4/15/2016,Fri,1510.0,0.980000019,0.980000019,0.0,0.0,0.0,0.970000029,0.0,0.0,0.0,96.0,1344.0,1344.0
34,1624580081,4/16/2016,Sat,5370.0,3.49000001,3.49000001,0.0,0.0,0.0,3.49000001,0.0,0.0,0.0,176.0,1264.0,1463.0
35,1624580081,4/17/2016,Sun,6175.0,4.059999943,4.059999943,0.0,1.029999971,1.519999981,1.49000001,0.01,15.0,22.0,127.0,1276.0,1554.0
36,1624580081,4/18/2016,Mon,10536.0,7.409999847,7.409999847,0.0,2.150000095,0.620000005,4.619999886,0.01,17.0,7.0,202.0,1214.0,1604.0
37,1624580081,4/19/2016,Tue,2916.0,1.899999976,1.899999976,0.0,0.0,0.0,1.899999976,0.0,0.0,0.0,141.0,1299.0,1435.0
38,1624580081,4/20/2016,Wed,4974.0,3.230000019,3.230000019,0.0,0.0,0.0,3.230000019,0.0,0.0,0.0,151.0,1289.0,1446.0
39,1624580081,4/21/2016,Thu,6349.0,4.130000114,4.130000114,0.0,0.0,0.0,4.110000134,0.02,0.0,0.0,186.0,1254.0,1467.0
40,1624580081,4/22/2016,Fri,4026.0,2.619999886,2.619999886,0.0,0.0,0.0,2.599999905,0.0,0.0,0.0,199.0,1241.0,1470.0
41,1624580081,4/23/2016,Sat,8538.0,5.550000191,5.550000191,0.0,0.0,0.0,5.539999962,0.01,0.0,0.0,227.0,1213.0,1562.0
42,1624580081,4/24/2016,Sun,6076.0,3.950000048,3.950000048,0.0,1.149999976,0.910000026,1.889999986,0.0,16.0,18.0,185.0,1221.0,1617.0
43,1624580081,4/25/2016,Mon,6497.0,4.21999979,4.21999979,0.0,0.0,0.0,4.199999809,0.02,0.0,0.0,202.0,1238.0,1492.0
44,1624580081,4/26/2016,Tue,2826.0,1.840000033,1.840000033,0.0,0.0,0.0,1.830000043,0.01,0.0,0.0,140.0,1300.0,1402.0
45,1624580081,4/27/2016,Wed,8367.0,5.440000057,5.440000057,0.0,1.110000014,1.870000005,2.460000038,0.0,17.0,36.0,154.0,1233.0,1670.0
46,1624580081,4/28/2016,Thu,2759.0,1.789999962,1.789999962,0.0,0.0,0.200000003,1.600000024,0.0,0.0,5.0,115.0,1320.0,1401.0
47,1624580081,4/29/2016,Fri,2390.0,1.549999952,1.549999952,0.0,0.0,0.0,1.549999952,0.0,0.0,0.0,150.0,1290.0,1404.0
48,1624580081,4/30/2016,Sat,6474.0,4.300000191,4.300000191,0.0,0.899999976,1.279999971,2.119999886,0.01,11.0,23.0,224.0,1182.0,1655.0
49,1624580081,5/1/2016,Sun,36019.0,28.03000069,28.03000069,0.0,21.92000008,4.190000057,1.909999967,0.02,186.0,63.0,171.0,1020.0,2690.0
50,1624580081,5/2/2016,Mon,7155.0,4.929999828,4.929999828,0.0,0.860000014,0.589999974,3.470000029,0.0,7.0,6.0,166.0,1261.0,1497.0
51,1624580081,5/3/2016,Tue,2100.0,1.370000005,1.370000005,0.0,0.0,0.0,1.340000033,0.02,0.0,0.0,96.0,1344.0,1334.0
52,1624580081,5/4/2016,Wed,2193.0,1.429999948,1.429999948,0.0,0.0,0.0,1.419999957,0.0,0.0,0.0,118.0,1322.0,1368.0
53,1624580081,5/5/2016,Thu,2470.0,1.610000014,1.610000014,0.0,0.0,0.0,1.580000043,0.02,0.0,0.0,117.0,1323.0,1370.0
54,1624580081,5/6/2016,Fri,1727.0,1.120000005,1.120000005,0.0,0.0,0.0,1.120000005,0.01,0.0,0.0,102.0,1338.0,1341.0
55,1624580081,5/7/2016,Sat,2104.0,1.370000005,1.370000005,0.0,0.0,0.0,1.370000005,0.0,0.0,0.0,182.0,1258.0,1474.0
56,1624580081,5/8/2016,Sun,3427.0,2.230000019,2.230000019,0.0,0.0,0.0,2.220000029,0.0,0.0,0.0,152.0,1288.0,1427.0
57,1624580081,5/9/2016,Mon,1732.0,1.129999995,1.129999995,0.0,0.0,0.0,1.129999995,0.0,0.0,0.0,91.0,1349.0,1328.0
58,1624580081,5/10/2016,Tue,2969.0,1.929999948,1.929999948,0.0,0.0,0.0,1.919999957,0.01,0.0,0.0,139.0,1301.0,1393.0
59,1624580081,5/11/2016,Wed,3134.0,2.039999962,2.039999962,0.0,0.0,0.0,2.039999962,0.0,0.0,0.0,112.0,1328.0,1359.0
60,1624580081,5/12/2016,Thu,2971.0,1.929999948,1.929999948,0.0,0.0,0.0,1.919999957,0.01,0.0,0.0,107.0,890.0,1002.0
61,1644430081,4/12/2016,Tue,10694.0,7.769999981,7.769999981,0.0,0.140000001,2.299999952,5.329999924,0.0,2.0,51.0,256.0,1131.0,3199.0
62,1644430081,4/13/2016,Wed,8001.0,5.820000172,5.820000172,0.0,2.279999971,0.899999976,2.640000105,0.0,30.0,16.0,135.0,1259.0,2902.0
63,1644430081,4/14/2016,Thu,11037.0,8.020000458,8.020000458,0.0,0.360000014,2.559999943,5.099999905,0.0,5.0,58.0,252.0,1125.0,3226.0
64,1644430081,4/15/2016,Fri,5263.0,3.829999924,3.829999924,0.0,0.219999999,0.150000006,3.450000048,0.0,3.0,4.0,170.0,1263.0,2750.0
65,1644430081,4/16/2016,Sat,15300.0,11.11999989,11.11999989,0.0,4.099999905,1.879999995,5.090000153,0.0,51.0,42.0,212.0,1135.0,3493.0
66,1644430081,4/17/2016,Sun,8757.0,6.369999886,6.369999886,0.0,2.25,0.569999993,3.549999952,0.0,29.0,13.0,186.0,1212.0,3011.0
67,1644430081,4/18/2016,Mon,7132.0,5.190000057,5.190000057,0.0,1.070000052,1.669999957,2.450000048,0.0,15.0,33.0,121.0,1271.0,2806.0
68,1644430081,4/19/2016,Tue,11256.0,8.180000305,8.180000305,0.0,0.360000014,2.529999971,5.300000191,0.0,5.0,58.0,278.0,1099.0,3300.0
69,1644430081,4/20/2016,Wed,2436.0,1.769999981,1.769999981,0.0,0.0,0.0,1.75999999,0.01,0.0,0.0,125.0,1315.0,2430.0
70,1644430081,4/21/2016,Thu,1223.0,0.889999986,0.889999986,0.0,0.0,0.0,0.879999995,0.01,0.0,0.0,38.0,1402.0,2140.0
71,1644430081,4/22/2016,Fri,3673.0,2.670000076,2.670000076,0.0,0.0,0.0,2.660000086,0.01,0.0,0.0,86.0,1354.0,2344.0
